"PCD_file";"x";"y";"z"
"../data/point_clouds/17_03_2023_tests/5_deg/3_5deg_filtered.pcdfiltered.pcd";5.21333;-2.63073;0
"../data/point_clouds/17_03_2023_tests/5_deg/2_5deg_filtered.pcdfiltered.pcd";5.65706;-2.81771;0
"../data/point_clouds/17_03_2023_tests/5_deg/1_5deg_filtered.pcdfiltered.pcd";4.87723;-2.86013;0
"../data/point_clouds/17_03_2023_tests/5_deg/4_5deg_filtered.pcdfiltered.pcd";4.41615;-3.00834;0
"../data/point_clouds/17_03_2023_tests/5_deg/5_5deg_filtered.pcdfiltered.pcd";4.4307;-2.71994;0
