"PCD_file";"x";"y";"z"
"../data/point_clouds/15_deg/32_15deg_filteredfiltered.pcd";14.8833;1.37115;0
"../data/point_clouds/15_deg/29_15deg_filteredfiltered.pcd";15.3645;1.32288;0
"../data/point_clouds/15_deg/33_15deg_filteredfiltered.pcd";15.1859;1.1763;0
"../data/point_clouds/15_deg/15_15deg_filteredfiltered.pcd";14.9882;1.27857;0
"../data/point_clouds/15_deg/25_15deg_filteredfiltered.pcd";15.4117;1.17167;0
"../data/point_clouds/15_deg/26_15deg_filteredfiltered.pcd";15.5617;1.27882;0
"../data/point_clouds/15_deg/40_15deg_filteredfiltered.pcd";15.0994;1.23054;0
"../data/point_clouds/15_deg/8_15deg_filteredfiltered.pcd";15.4186;1.34487;0
"../data/point_clouds/15_deg/5_15deg_filteredfiltered.pcd";15.2804;1.31727;0
"../data/point_clouds/15_deg/10_15deg_filteredfiltered.pcd";14.9137;1.38367;0
"../data/point_clouds/15_deg/31_15deg_filteredfiltered.pcd";15.2678;1.22706;0
"../data/point_clouds/15_deg/2_15deg_filteredfiltered.pcd";15.1108;1.32047;0
"../data/point_clouds/15_deg/27_15deg_filteredfiltered.pcd";15.1974;1.50906;0
"../data/point_clouds/15_deg/36_15deg_filteredfiltered.pcd";15.1434;1.26769;0
"../data/point_clouds/15_deg/34_15deg_filteredfiltered.pcd";15.2767;1.55379;0
"../data/point_clouds/15_deg/13_15deg_filteredfiltered.pcd";14.9397;1.26459;0
"../data/point_clouds/15_deg/23_15deg_filteredfiltered.pcd";15.2197;1.32939;0
"../data/point_clouds/15_deg/1_15deg_filteredfiltered.pcd";15.2949;1.53964;0
"../data/point_clouds/15_deg/24_15deg_filteredfiltered.pcd";15.2354;1.37311;0
"../data/point_clouds/15_deg/9_15deg_filteredfiltered.pcd";15.1501;1.45723;0
"../data/point_clouds/15_deg/11_15deg_filteredfiltered.pcd";15.3415;1.25892;0
"../data/point_clouds/15_deg/16_15deg_filteredfiltered.pcd";15.3397;1.45034;0
"../data/point_clouds/15_deg/30_15deg_filteredfiltered.pcd";14.8607;1.36709;0
"../data/point_clouds/15_deg/19_15deg_filteredfiltered.pcd";15.3199;1.35658;0
"../data/point_clouds/15_deg/18_15deg_filteredfiltered.pcd";15.2937;1.34537;0
"../data/point_clouds/15_deg/7_15deg_filteredfiltered.pcd";15.3099;1.30777;0
"../data/point_clouds/15_deg/35_15deg_filteredfiltered.pcd";15.277;1.50826;0
"../data/point_clouds/15_deg/3_15deg_filteredfiltered.pcd";15.1012;1.53955;0
"../data/point_clouds/15_deg/17_15deg_filteredfiltered.pcd";15.5282;1.09776;0
"../data/point_clouds/15_deg/38_15deg_filteredfiltered.pcd";14.8827;1.11972;0
"../data/point_clouds/15_deg/39_15deg_filteredfiltered.pcd";15.1243;1.22042;0
"../data/point_clouds/15_deg/37_15deg_filteredfiltered.pcd";15.1753;1.43468;0
"../data/point_clouds/15_deg/41_15deg_filteredfiltered.pcd";15.1667;1.43246;0
"../data/point_clouds/15_deg/28_15deg_filteredfiltered.pcd";15.2781;1.69635;0
"../data/point_clouds/15_deg/20_15deg_filteredfiltered.pcd";15.2966;1.40829;0
"../data/point_clouds/15_deg/21_15deg_filteredfiltered.pcd";15.0304;1.5583;0
"../data/point_clouds/15_deg/6_15deg_filteredfiltered.pcd";15.051;1.35511;0
"../data/point_clouds/15_deg/22_15deg_filteredfiltered.pcd";15.2586;1.28669;0
"../data/point_clouds/15_deg/14_15deg_filteredfiltered.pcd";15.1358;1.24134;0
"../data/point_clouds/15_deg/12_15deg_filteredfiltered.pcd";15.2416;1.43215;0
"../data/point_clouds/15_deg/4_15deg_filteredfiltered.pcd";15.1879;1.44936;0
