"PCD_file";"x";"y";"z"
"../data/point_clouds/17_03_2023_tests/10_deg/4_10deg_filtered.pcdfiltered.pcd";10.4473;-3.16105;0
"../data/point_clouds/17_03_2023_tests/10_deg/2_10deg_filtered.pcdfiltered.pcd";9.59948;-3.09784;0
"../data/point_clouds/17_03_2023_tests/10_deg/5_10deg_filtered.pcdfiltered.pcd";9.99459;-3.23399;0
"../data/point_clouds/17_03_2023_tests/10_deg/3_10deg_filtered.pcdfiltered.pcd";9.66994;-2.85473;0
"../data/point_clouds/17_03_2023_tests/10_deg/1_10deg_filtered.pcdfiltered.pcd";10.3012;-3.07256;0
