"PCD File";"Estimated Angle"
"../../point_clouds/10_deg/1678701557904774_10_deg_filtered.pcd";10.1686
"../../point_clouds/10_deg/1678701558271506_10_deg_filtered.pcd";10.2477
"../../point_clouds/10_deg/1678701556871211_10_deg_filtered.pcd";10.1088
"../../point_clouds/10_deg/1678701555774425_10_deg_filtered.pcd";9.98497
"../../point_clouds/10_deg/1678701556404359_10_deg_filtered.pcd";9.98028
"../../point_clouds/10_deg/1678701556771171_10_deg_filtered.pcd";9.92182
"../../point_clouds/10_deg/1678701557571374_10_deg_filtered.pcd";9.84544
"../../point_clouds/10_deg/1678701558638233_10_deg_filtered.pcd";10.1674
"../../point_clouds/10_deg/1678701557204630_10_deg_filtered.pcd";9.93517
"../../point_clouds/10_deg/1678701555414216_10_deg_filtered.pcd";9.90586
"../../point_clouds/10_deg/1678701558171489_10_deg_filtered.pcd";9.89159
"../../point_clouds/10_deg/1678701556137593_10_deg_filtered.pcd";9.90443
"../../point_clouds/10_deg/1678701558304845_10_deg_filtered.pcd";10.6606
"../../point_clouds/10_deg/1678701556104247_10_deg_filtered.pcd";9.83593
"../../point_clouds/10_deg/1678701556070902_10_deg_filtered.pcd";9.80861
"../../point_clouds/10_deg/1678701556471051_10_deg_filtered.pcd";10.2187
"../../point_clouds/10_deg/1678701556837863_10_deg_filtered.pcd";10.0688
"../../point_clouds/10_deg/1678701557804754_10_deg_filtered.pcd";10.0024
"../../point_clouds/10_deg/1678701557471353_10_deg_filtered.pcd";10.243
"../../point_clouds/10_deg/1678701558538218_10_deg_filtered.pcd";9.96121
"../../point_clouds/10_deg/1678701557938114_10_deg_filtered.pcd";10.1817
"../../point_clouds/10_deg/1678701559004963_10_deg_filtered.pcd";10.0025
"../../point_clouds/10_deg/1678701557104608_10_deg_filtered.pcd";9.70881
"../../point_clouds/10_deg/1678701555381373_10_deg_filtered.pcd";10.3648
"../../point_clouds/10_deg/1678701555741759_10_deg_filtered.pcd";10.1732
