"PCD File";"Estimated Angle"
"../../point_clouds/0_deg/1678701231215968_0deg_filtered.pcd";1.64806
"../../point_clouds/0_deg/1678701228081813_0deg_filtered.pcd";1.57271
"../../point_clouds/0_deg/1678701231782775_0deg_filtered.pcd";1.59471
"../../point_clouds/0_deg/1678701230482434_0deg_filtered.pcd";1.63099
"../../point_clouds/0_deg/1678701229748912_0deg_filtered.pcd";1.54624
"../../point_clouds/0_deg/1678701230115668_0deg_filtered.pcd";1.52649
"../../point_clouds/0_deg/1678701229082083_0deg_filtered.pcd";1.23448
"../../point_clouds/0_deg/1678701230382406_0deg_filtered.pcd";1.5437
"../../point_clouds/0_deg/1678701227648379_0deg_filtered.pcd";1.48134
"../../point_clouds/0_deg/1678701228848685_0deg_filtered.pcd";1.463
"../../point_clouds/0_deg/1678701228215180_0deg_filtered.pcd";1.51775
"../../point_clouds/0_deg/1678701229915619_0deg_filtered.pcd";1.39437
"../../point_clouds/0_deg/1678701228581946_0deg_filtered.pcd";1.60633
"../../point_clouds/0_deg/1678701229282133_0deg_filtered.pcd";1.67713
"../../point_clouds/0_deg/1678701229048741_0deg_filtered.pcd";1.53493
"../../point_clouds/0_deg/1678701230782516_0deg_filtered.pcd";1.52931
"../../point_clouds/0_deg/1678701227715061_0deg_filtered.pcd";1.49619
"../../point_clouds/0_deg/1678701227815085_0deg_filtered.pcd";1.51375
"../../point_clouds/0_deg/1678701228448576_0deg_filtered.pcd";1.46139
"../../point_clouds/0_deg/1678701231382676_0deg_filtered.pcd";1.30401
"../../point_clouds/0_deg/1678701227414991_0deg_filtered.pcd";1.36229
"../../point_clouds/0_deg/1678701228115154_0deg_filtered.pcd";1.41665
"../../point_clouds/0_deg/1678701227248285_0deg_filtered.pcd";1.48213
"../../point_clouds/0_deg/1678701231616067_0deg_filtered.pcd";1.47246
"../../point_clouds/0_deg/1678701229482182_0deg_filtered.pcd";1.45911
"../../point_clouds/0_deg/1678701228681974_0deg_filtered.pcd";1.46166
"../../point_clouds/0_deg/1678701228015131_0deg_filtered.pcd";1.66589
"../../point_clouds/0_deg/1678701230915887_0deg_filtered.pcd";1.57147
