"PCD_file";"x";"y";"z"
"../data/point_clouds/5_deg/4_5deg_filtered.pcd";-5.01849;1.56844;0
"../data/point_clouds/5_deg/11_5deg_filtered.pcd";-4.35341;1.57834;0
"../data/point_clouds/5_deg/12_5deg_filtered.pcd";-4.69791;1.70567;0
"../data/point_clouds/5_deg/9_5deg_filtered.pcd";-4.46384;1.48676;0
"../data/point_clouds/5_deg/15_5deg_filtered.pcd";-4.88817;1.45691;0
"../data/point_clouds/5_deg/16_5deg_filtered.pcd";-4.55589;1.51323;0
"../data/point_clouds/5_deg/8_5deg_filtered.pcd";-4.63556;1.71761;0
"../data/point_clouds/5_deg/7_5deg_filtered.pcd";-4.92216;1.34369;0
"../data/point_clouds/5_deg/14_5deg_filtered.pcd";-4.75792;1.55635;0
"../data/point_clouds/5_deg/2_5deg_filtered.pcd";-4.57491;1.56265;0
"../data/point_clouds/5_deg/10_5deg_filtered.pcd";-4.97783;1.73201;0
"../data/point_clouds/5_deg/13_5deg_filtered.pcd";-5.06116;1.41071;0
"../data/point_clouds/5_deg/6_5deg_filtered.pcd";-4.61111;1.3174;0
"../data/point_clouds/5_deg/1_5deg_filtered.pcd";-4.73805;1.60019;0
"../data/point_clouds/5_deg/3_5deg_filtered.pcd";-5.26295;1.57301;0
"../data/point_clouds/5_deg/5_5deg_filtered.pcd";-4.79297;1.67558;0
