"PCD_file";"x";"y";"z"
"../data/point_clouds/17_03_2023_tests/0_degtest/5_0deg_filteredfiltered.pcd";0.301454;-2.76635;-0
"../data/point_clouds/17_03_2023_tests/0_degtest/2_0deg_filteredfiltered.pcd";178.698;-176.993;-180
"../data/point_clouds/17_03_2023_tests/0_degtest/1_0deg_filteredfiltered.pcd";1.53767;-2.63443;-6.67011e-09
"../data/point_clouds/17_03_2023_tests/0_degtest/4_0deg_filteredfiltered.pcd";179.939;-176.965;-180
"../data/point_clouds/17_03_2023_tests/0_degtest/3_0deg_filteredfiltered.pcd";0.940551;-2.59708;-6.67011e-09
