"PCD_file";"x";"y";"z"
"../data/point_clouds/17_03_2023_tests/10_deg/2_10deg_filtered.pcd";9.59948;-3.09784;5.33609e-08
"../data/point_clouds/17_03_2023_tests/10_deg/1_10deg_filtered.pcd";10.3012;-3.07256;5.33608e-08
"../data/point_clouds/17_03_2023_tests/10_deg/4_10deg_filtered.pcd";10.4473;-3.16105;5.33609e-08
"../data/point_clouds/17_03_2023_tests/10_deg/5_10deg_filtered.pcd";9.99459;-3.23399;5.33608e-08
"../data/point_clouds/17_03_2023_tests/10_deg/3_10deg_filtered.pcd";9.66994;-2.85473;-5.33608e-08
